Method,Hardware,Workload,Model,pred_e2e_ms,real_e2e_ms,MAPE_e2e(%)
habitat,H20,arxiv16,Llama-3.1-70B,8146.741,17928.494,54.56
habitat,H20,splitwise64,Llama-3.1-70B,5568.006,20288.628,72.56
habitat,H800,arxiv16,Llama-3.1-70B,10032.534,11028.905,9.03
habitat,H800,splitwise64,Llama-3.1-70B,5416.329,8823.976,38.62
linear,H20,arxiv16,Llama-3.1-70B,9829.363,17928.494,45.17
linear,H20,splitwise64,Llama-3.1-70B,7155.477,20288.628,64.73
linear,H800,arxiv16,Llama-3.1-70B,4328.288,11028.905,60.76
linear,H800,splitwise64,Llama-3.1-70B,2904.268,8823.976,67.09
neusight,H20,arxiv16,Llama-3.1-70B,18024.408,17928.494,0.53
neusight,H20,splitwise64,Llama-3.1-70B,16408.672,20288.628,19.12
neusight,H800,arxiv16,Llama-3.1-70B,12892.629,11028.905,16.9
neusight,H800,splitwise64,Llama-3.1-70B,10912.433,8823.976,23.67
pipeweave,H20,arxiv16,Llama-3.1-70B,17390.789,17928.494,3.0
pipeweave,H20,splitwise64,Llama-3.1-70B,19831.497,20288.628,2.25
pipeweave,H800,arxiv16,Llama-3.1-70B,11104.943,11028.905,0.69
pipeweave,H800,splitwise64,Llama-3.1-70B,7954.764,8823.976,9.85
roofline,H20,arxiv16,Llama-3.1-70B,6266.004,17928.494,65.05
roofline,H20,splitwise64,Llama-3.1-70B,4730.961,20288.628,76.68
roofline,H800,arxiv16,Llama-3.1-70B,8196.021,11028.905,25.69
roofline,H800,splitwise64,Llama-3.1-70B,4452.492,8823.976,49.54
