hardware,total_underperforming,avg_perf_diff,min_perf_diff,avg_rel_gap,min_rel_gap,topk_count
NVIDIA A100-SXM4-80GB,1831,-0.053188723,-0.25303474,-0.13654919,-0.4370402,1831
NVIDIA A40,2270,-0.09603255,-0.4111442,-0.2968232,-0.7199236,2270
NVIDIA H100,1976,-0.038698412,-0.18085527,-0.14922842,-0.41831034,1976
NVIDIA H20,1594,-0.01450382,-0.06492904,-0.034891475,-0.309788,1594
NVIDIA H200,1877,-0.021712225,-0.12880251,-0.08854486,-0.5089632,1877
NVIDIA H800,1912,-0.038642846,-0.17926994,-0.1505964,-0.45969883,1912
NVIDIA L20,2224,-0.10566145,-0.4709591,-0.20388284,-0.62534803,2224
NVIDIA L40,2273,-0.12846841,-0.41811207,-0.25039962,-0.7325674,2273
NVIDIA RTX 6000 Ada Generation,2155,-0.06781174,-0.21452576,-0.24436729,-0.6334962,2155
NVIDIA RTX A6000,1950,-0.037732832,-0.1731511,-0.12506436,-0.33089796,1950
NVIDIA RTX PRO 6000 Blackwell Server Edition,1942,-0.05769843,-0.27347064,-0.16744503,-0.4206415,1942
